timestamp(ms),MP uptime,NAV uptime,accel x,accel y,accel z,gyro x,gyro y,gyro z,altitude,verticalvel,mag x,mag y,mag z,magraw x,magraw y,magraw z,heading,
"1694994577.699",,,,,"0.129954","9.343546","0.634785","1.181677","1915.745117","478.929443",,,,,,,,
"1694994577.7",,,,,,,,,,,"-26.191172","-37.035954","-94.270683","-1792","-2534",,,
"1694994577.701",,,,,,,,,,,,,,,,"-6450","-125.267281",
"1694994577.801",,"119411","-9.826372","-0.113241",,,,,,,,,,,,,,
"1694994577.802",,,,,"0.162073","10.668335","0.612812","-0.222175","1915.657227",,,,,,,,,
"1694994577.803",,,,,,,,,,"478.933502","-26.088863","-37.459805","-94.650688","-1785","-2563",,,
"1694994577.804",,,,,,,,,,,,,,,,"-6476","-124.85527",
"1694994577.904",,"119492","-9.950713","-0.051509",,,,,,,,,,,,,,
"1694994577.905",,,,,"0.075411","11.714226","-0.41261","-1.379436","1915.629883","478.917725",,,,,,,,
"1694994577.906",,,,,,,,,,,"-26.892721","-37.883659","-95.162231","-1840","-2592",,,
"1694994577.907",,,,,,,,,,,,,,,,"-6511","-125.370049",
"1694994578.021",,"119573","-9.870222","-0.109347","0.109844","10.625324","-1.032746","-0.44435","1915.773682","478.911865","-26.629642","-37.211342","-94.694534","-1822","-2546","-6479","-125.588737",
"1694994578.109",,"119737","-9.857529","-0.015739",,,,,,,,,,,,,,
"1694994578.11",,,,,"0.109121","-4.641256","0.690939","1.030305","1915.570435","478.949524",,,,,,,,
"1694994578.111",,,,,,,,,,,"-26.878107","-37.18211","-95.264542","-1839","-2544",,,
"1694994578.112",,,,,,,,,,,,,,,,"-6518","-125.862312",
"1694994578.212",,"119818","-9.90542","0.061571",,,,,,,,,,,,,,
"1694994578.213",,,,,"-0.018484","-7.768792","-0.454115","1.042513","1915.598877","478.904449",,,,,,,,
"1694994578.214",,,,,,,,,,,"-26.819643","-36.919029","-95.39608","-1835","-2526",,,
"1694994578.215",,,,,,,,,,,,,,,,"-6527","-125.996338",
"1694994578.315",,"119899","-9.93499","-0.415845",,,,,,,,,,,,,,
